fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
379093057_31122009.pdf,,2009-12-31,CRECHE LES PETITS LOUPS,VIC EN BIGORRE,376973,-2902,2610,46056,36546,159763,28,true,ambigu,48,C,14.6,9.0,3.9,10.8,10,
379093057_31122010.pdf,,2010-12-31,CRECHE LES PETITS LOUPS,VIC EN BIGORRE,,,,,,,,true,,18,E,0,0,0,7.5,10,
379093057_31122011.pdf,,2011-12-31,Les Petits Loups,Vic en Bigorre,418190,-16266,-5839,28025,12830,133587,25,false,deficit,32,D,13.1,6.6,1.2,11.3,0,
379093057_31122012.pdf,,2012-12-31,Les Petits Loups,Vic en Bigorre,455497,-25879,-2397,25216,23421,138543,23,false,deficit,32,D,12.2,5.7,2.1,11.6,0,
379981913_31122006.pdf,,2006-12-31,ASSD PAREC,PONT AUDEMER,1642683,52998,58603,284132,112064,507190,73,true,excedent,51,C,16.6,17.5,2.7,4.1,10,
379981913_31122007.pdf,37998191300013,2007-12-31,ASSOCIATION PAREC,PONT AUDEMER,1592248,71180,61867,337865,138391,567798,72,true,excedent,54,C,17.2,18.6,3.5,4.2,10,
379981913_31122008.pdf,,2008-12-31,ASSOCIATION PAREC,PONT AUDEMER,1576513,31769,38308,368041,118323,565133,72,true,excedent,54,C,16.0,20.4,3.0,4.2,10,
379981913_31122009.pdf,,2009-12-31,ASSD PAREC,PONT AUDEMER,1458445,3419,-8670,361999,226166,575073,71,true,deficit,55,C,15.1,19.7,6.2,4.4,10,
379981913_31122010.pdf,379981913,2010-12-31,ASSD PAREC,PONT AUDEMER,1442377,32735,31363,409231,117409,598835,68,true,excedent,56,C,16.1,21.4,3.3,4.8,10,
379981913_31122011.pdf,379981913,2011-12-31,Association PAREC,Pont Audemer,1528663,2500,-15234,386517,34132,572687,68,true,ambigu,52,C,15.1,21.1,0.9,4.8,10,
379981913_31122012.pdf,,2012-12-31,Association PAREC,PONT AUDEMER,1552595,-51916,99,384939,8208,548611,69,false,ambigu,40,C,13.3,21.9,0.2,4.7,0,
379981913_31122013.pdf,,2013-12-31,ASSOCIATION PAREC,Pont Audemer,1600938,-99262,-105094,283529,104690,479315,69,true,deficit,48,C,11.9,18.5,2.6,4.7,10,
379981913_31122014.pdf,,2014-12-31,ASSOCIATION PAREC,PONT AUDEMER,1678832,-70520,-62902,222426,53053,674325,70,true,deficit,39,D,12.9,10.3,1.3,4.5,10,
379981913_31122015.pdf,37998191300070,2015-12-31,ASSOCIATION PAREC,PONT AUDEMER,1809948,-5606,11328,197662,84744,751674,71,true,ambigu,39,D,14.8,8.2,1.9,4.4,10,
379981913_31122016.pdf,,2016-12-31,ASSOCIATION PAREC,Pont Audemer,1847039,-4708,-6299,216800,118644,587017,70,true,deficit,44,C,14.9,11.5,2.6,4.5,10,
379981913_31122017.pdf,,2017-12-31,ASSOCIATION PAREC,Pont Audemer,1871900,-58435,-57109,160668,71161,489843,70,true,deficit,40,C,13.4,10.2,1.5,4.5,10,
379981913_31122018.pdf,,2018-12-31,ASSOCIATION PAREC,Pont Audemer,,,,,,,,true,deficit,18,E,0,0,0,7.5,10,
380305391_31122010.pdf,,2010-12-31,LA PIERRE BLANCHE,CONFLANS SAINTE HONORINE,727976,41339,17991,232889,260621,384841,0,true,excedent,76,B,17.8,18.9,14.3,15.0,10,
388722985_31122013.pdf,,2013-12-31,Association CALINOU,LA CHAPELLE DES FOUGERETZ,314752,-10503,-4339,110923,68566,162998,32,true,deficit,64,B,13.3,21.3,8.7,10.2,10,
388722985_31122015.pdf,,2015-12-31,Association CALINOU,LA CHAPELLE DU FOUGERETZ,340929,4443,3256,105577,90978,185223,32,true,excedent,64,B,15.7,17.8,10.7,10.2,10,
390550408_31122011.pdf,390550408,2010-12-31,Association Initiatives Karties,Piton Saint Leu,2581696,99093,-18181,136075,133870,275709,98,true,ambigu,45,C,16.9,15.4,2.1,0.3,10,
