siren,cloture,nom,ville,departement,ape_section,score_vigi,niveau_vigi,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,date_snapshot
492989496,2023-12-31,CASE MARMAILLONS,SAINT-PIERRE,974,88,30,D,3.4,8.9,4.8,3.0,10,2026-05-08
502268899,2022-12-31,ENTREPRENDRE AU FEMININ BRETAGNE,LE FAOU,29,85,52,C,13.0,23.7,3.3,1.8,10,2026-05-08
502268899,2023-12-31,ENTREPRENDRE AU FEMININ BRETAGNE,LE FAOU,29,85,51,C,0,18.5,20,2.0,10,2026-05-08
504254376,2021-12-31,ASSOCIATION AIDE AUX VICTIMES DU LOIRET,ORLEANS,45,88,41,C,4.3,10.3,15.0,0.9,10,2026-05-08
508769874,2024-12-31,ARCA,JOUE-LES-TOURS,37,85,79,B,19.6,20.3,20,8.9,10,2026-05-08
510583594,2021-12-31,LE K'FE QUOI,FORCALQUIER,04,90,33,D,16.3,0,4.1,2.3,10,2026-05-08
510583594,2022-12-31,LE K'FE QUOI,FORCALQUIER,04,90,29,D,13.0,0,1.9,3.6,10,2026-05-08
519189492,2021-12-31,Association RESEAU DE SANTE INTERMED,LYON,69,88,48,C,17.5,9.0,8.7,2.9,10,2026-05-08
519189492,2022-12-31,RESEAU INTERMED,LYON,69,88,33,D,16.3,10.2,3.9,2.1,0,2026-05-08
520293457,2023-12-31,Ligue de l'Enseignement de Saône et Loire,Mâcon,71,94,37,D,15.0,0,4.4,7.4,10,2026-05-08
775558786,2023-12-31,Association ADRIM,MARSEILLE,13,87,27,D,18.3,0,3.7,5.3,0,2026-05-08
775558786,2022-12-31,A.D.R.I.M,Marseille,13,87,33,D,16.0,0,0.9,5.6,10,2026-05-08
775558786,2021-12-31,Association ADRIM,MARSEILLE,13,87,21,D,14.1,0,1.2,6.0,0,2026-05-08
775644677,2020-08-31,ATELIERS D'APPRENTISSAGE DE L'INDUSTRIE,VAULX EN VELIN,69,85,66,B,3.5,25,18.9,8.1,10,2026-05-08
775644677,2021-08-31,ATELIERS D'APPRENTISSAGE DE L'INDUSTRIE - ASSOCIATION,VAULX EN VELIN,69,85,44,C,0,21.5,5.2,7.1,10,2026-05-08
775674260,2024-12-31,FEDERATION UNIE DES AUBERGES DE JEUNESSE,Paris,75,55,41,C,14.3,0,2.0,14.7,10,2026-05-08
775674260,2023-12-31,FEDERATION UNIE DES AUBERGES DE JEUNESSE,PARIS,75,55,42,C,13.4,0.1,3.4,14.6,10,2026-05-08
775701808,2022-12-31,Association EMERGENCE-S,Rouen,76,87,51,C,13.2,13.6,11.0,3.0,10,2026-05-08
775701808,2023-12-31,EMERGENCE-S,Rouen,76,87,41,C,13.9,18.9,4.7,3.5,0,2026-05-08
776552465,2022-08-31,ASSOCIATION POUR LA GESTION DE L'ECOLE JEANNE D'ARC,AIX LES BAINS,73,85,42,C,14.3,6.2,3.1,8.7,10,2026-05-08
781173174,2024-12-31,Association Départementale des Francas de Charente,Angoulême,16,94,33,D,9.2,0,4.4,9.5,10,2026-05-08
781173174,2023-12-31,Association Départementale des Francas de Charente,Angoulême,16,94,38,D,11.8,0,7.6,8.3,10,2026-05-08
782722763,2024-08-31,LVEF ASS.,LA CIOTAT,13,88,58,C,19.1,17.6,6.3,15.0,0,2026-05-08
784281099,2023-12-31,Association des Surintendantes d'Usines et de Services Sociaux (ASUSS) et Ecole supérieure de travail social (ETSUP),PARIS,75,85,31,D,1.6,5.8,7.1,6.1,10,2026-05-08
784281099,2022-12-31,Association des Surintendantes d'Usines et de Services Sociaux - ETSUP,Paris,75,85,55,C,9.3,8.1,20,7.2,10,2026-05-08
785566720,2020-12-31,SOLIHA Est parisien,FONTENAY SOUS BOIS,94,94,52,C,9.6,2.0,20,10.1,10,2026-05-08
804560860,2022-12-31,AMUNANTI,,75,85,51,C,14.7,25,8.5,3.2,0,2026-05-08
804560860,2024-12-31,AMUNANTI,,75,85,39,D,15.0,14.9,6.8,2.6,0,2026-05-08
818007460,2022-12-31,FISPE,Paris,75,88,50,C,17.2,25,6.8,0.6,0,2026-05-08
818007460,2024-12-31,FISPE,,75,88,46,C,15.6,25,4.5,1.2,0,2026-05-08
818007460,2023-12-31,FISPE,,75,88,48,C,16.6,25,5.8,0.5,0,2026-05-08
824368989,2021-12-31,Association FASHION GREEN HUB,VILLENEUVE D'ASCQ,59,94,19,E,9.6,0,0.0,9.6,0,2026-05-08
824972665,2022-12-31,Association TOUS TES POSSIBLES,NANCY,54,82,49,C,15.0,4.6,7.7,11.3,10,2026-05-08
881201891,2021-12-31,ASSOC LA MORA GUILLAUME LE CONQUERANT,LE TORQUESNE,14,94,50,C,0,25,0,15.0,10,2026-05-08
881201891,2022-12-31,ASSOC LA MORA GUILLAUME LE CONQUERANT,HONFLEUR,14,94,50,C,0,14.5,20,15.0,0,2026-05-08
918300492,2023-12-31,AMSL,SAINT JEAN DE LA RUELLE,45,86,27,D,1.7,0,11.6,13.4,0,2026-05-08
,2024-12-31,MJC CLAL,MERIGNAC,,,52,C,7.1,16.3,12.1,6.9,10,2026-05-08
,2024-08-31,MJC SAINT JUST,LYON,,,76,B,17.2,19.1,20,9.6,10,2026-05-08
,2025-08-31,ASS ASSOCIATION MJC,,,,66,B,20.8,18.7,20,6.9,0,2026-05-08
,2024-12-31,Pôle 9 MJC Centre social,LYON,,,78,B,19.8,21.3,20,6.6,10,2026-05-08
,2024-12-31,MJC MONTCHAT,LYON,,,70,B,15.2,16.7,20,8.1,10,2026-05-08
,2024-12-31,MJC - CENTRE SOCIAL MONTCHAPET,DIJON,,,69,B,16.0,15.9,20,6.8,10,2026-05-08
