siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,rna
891074619,association CENTRE DE SANTE MEDICO DENTAIRE PARIS FLANDRE,Paris,75019,75,2026-04-03,2026-03-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600653333,CENTRE DE SANTE MEDICO DENTAIRE PARIS FLANDRE,9220,12,86.23Z,PME,A,W751258660
853963502,ASSOCIATION AUX SOURIRES DES TI ZAZAKEL,ST PIERRE,97432,974,2026-04-02,2026-03-31,Autre jugement et ordonnance,Extrait de jugement,A202600643259,ASSOCIATION AUX SOURIRES DES TI ZAZAKEL,9220,NN,88.91A,,A,W9R2009244
391157765,ASSOCIATION FSE DU LYCEE HENRI IV,Paris,75005,75,2025-05-04,2025-03-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500865283,FSE LYCEE HENRI 4,9220,NN,94.99Z,PME,A,
809607880,ASSOCIATION GARAGE SOLIDAIRE DU JURA,Montmorot,39570,39,2024-03-15,2024-03-08,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202400532023,GARAGE SOLIDAIRE DU JURA,9220,03,45.20A,PME,A,W392004088
324896448,ASSOCIATION DEPARTEMENTALE VOYAGEURS GADJÉ ET TSIGANES EN FRANCE (ADVOG),CERGY-SAINT-CHRISTOPHE,95800,95,2026-03-26,2026-03-24,Autre jugement et ordonnance,Extrait de jugement,A202600595767,ASSOCIATION DEPARTEMENTALE VOYAGEURS GADJE ET TSIGANES EN FRANCE (ADVOG),9220,03,94.99Z,PME,A,W953000545
894113851,ASSOCIATION MAYOTTE NOUVEAU DEPART,Sada,97640,976,2023-07-06,2022-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301294924,"MAYOTTE, NOUVEAU DEPART !",9220,NN,94.99Z,,A,W9T1007357
820372936,association CENTRE DE SANTE MEDICO DENTAIRE BELSUNCE - Sigle: CSMDB,Marseille,13001,75,2024-10-04,2024-09-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401933173,CENTRE DE SANTE MEDICO DENTAIRE BELSUNCE (CSMDB),9220,11,86.23Z,PME,A,W133024835
409031184,ASSOCIATION DES DIABETIQUES DE LA REUNION,Le Tampon,97430,974,2025-04-09,2025-03-06,Autre jugement prononçant,Jugement prononçant,A202500701317,ASSOCIATION DES DIABETIQUES DE LA REUNION (AFD974),9220,01,94.99Z,PME,A,W9R1002089
878682913,ASSOCIATION CENTRE DE SANTE MEDICO DENTAIRE MELUN,Melun,77000,75,2024-10-04,2024-09-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401933148,CENTRE DE SANTE MEDICO DENTAIRE MELUN,9220,12,86.23Z,PME,A,W772009432
891296329,ASSOCIATION MEDICO DENTAIRE D'ENGHIEN LES BAINS,Enghien-les-Bains,95880,75,2025-09-05,2025-08-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202501702119,ASSOCIATION MEDICO DENTAIRE ENGHIEN LES BAINS,9220,11,86.23Z,PME,A,W952013665
890148794,Association MEDICO DENTAIRE CLAYE SOUILLY,Claye-Souilly,77410,75,2025-07-06,2025-06-19,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202501283948,ASSOCIATION MEDICO DENTAIRE CLAYE SOUILLY,9220,11,86.23Z,PME,A,W771019047
825335037,association CHIEN GUIDE POUR LA LIBERTE VISUELLES - Sigle: C.G.L.V,Paris,75015,75,2026-03-17,2026-02-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600524593,CHIEN GUIDE POUR LA LIBERTE VISUELLE (C.G.L.V.),9220,NN,96.09Z,PME,A,W921004859
905238648,ASSOCIATION MEDICO DENTAIRE COLMAR 68,Yerres,91330,75,2025-09-05,2025-08-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202501702118,ASSOCIATION MEDICO DENTAIRE COLMAR 68,9220,03,86.23Z,PME,A,W912014990
384419826,ASSOCIATION DE GESTION DU CENTRE DES METIERS D’ART (AGCMA),Pointe-à-Pitre,97110,971,2023-12-12,2023-11-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202302393260,ASSOCIATION GESTION CENTRE METIERS ARTS (AGCMA),9220,00,85.59B,PME,A,W9G2000076
878309947,association CENTRE DE SANTE MEDICO DENTAIRE ORLY (C.S.M.D.O),Orly,94310,75,2024-12-13,2024-11-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202402413554,CENTRE DE SANTE MEDICO DENTAIRE ORLY (C.S.M.D.O.),9220,12,86.23Z,PME,A,W941016204
843061649,ASSOCIATION CENTRE DE SANTE MEDICO DENTAIRE ST-CATHERINE,Bordeaux,33000,75,2024-12-13,2024-11-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202402413530,CENTRE DE SANTE MEDICO DENTAIRE ST-CATHERINE,9220,12,86.23Z,PME,A,W332023803
422123596,ASSOCIATION GUADELOUPEENNE DES MYOPATHES - (AGM),Les Abymes,97139,971,2024-05-26,2024-04-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401001934,ASSO GUADELOUPEENNE DES MYOPATHES (AGM),9220,NN,88.99B,PME,A,W9G2000674
837659309,association CENTRE DE SANTE MEDICO DENTAIRE VENISSIEUX - Sigle: CSMDV,Vénissieux,69200,75,2024-12-13,2024-11-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202402413555,CENTRE DE SANTE MEDICO DENTAIRE VENISSIEUX (CSMDV) (CSMDV),9220,12,86.23Z,PME,A,W691093965
877702290,OBYFIGHT ASSOCIATION,Vitry-sur-Seine,94400,94,2025-02-04,2025-01-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202500243492,OBYFIGHT ASSOCIATION,9220,NN,93.12Z,PME,A,W941016090
877978437,Association CEP PARITAIRE ILE-DE-FRANCE,Paris,75019,75,2025-11-11,2025-10-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202502175319,CEP PARITAIRE ILE DE FRANCE,9220,02,94.99Z,PME,A,W751253611
904862257,Association MEDICO DENTAIRE SCEAUX,Levallois-Perret,92300,75,2025-09-05,2025-08-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501702125,ASSOCIATION MEDICO DENTAIRE SCEAUX,9220,11,86.23Z,PME,A,W922018874
495388910,ASSOCIATION MA 2EME MAISON,Terre de Bancalie,81120,81,2024-11-27,2024-11-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202402294262,ASSOCIATION MA 2 EME MAISON,9220,NN,88.91A,PME,A,W811000787
477728901,Association ARTHUR ET MARINE,Paris,75013,75,2026-03-10,2026-02-20,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202600475379,ASSOCIATION ARTHUR ET MARINE,9220,11,88.91A,PME,A,W751157622
