siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
314841479,ASSOCIATION MJC MONT-MESLY - MADELEINE REBERIOUX,Créteil,94000,94,2024-05-24,2024-03-22,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400993373
752045518,ASSOCIATION DENTICENTRES,Paris,75019,75,2024-06-30,2024-06-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401252160
827551128,ASSOCIATION ECOLE NIKOLA TESLA,Lyon,69006,69,2024-01-19,2024-01-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202400132855
347769630,ASSOCIATION AVENIR,Riom,63200,63,2023-02-01,2023-01-04,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202300221649
507658151,ASSOCIATION A.A.I.R. AMBITIONS ET INITIATIVES POUR LA REUSSITE,Roubaix,59100,59,2024-06-26,2024-05-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401222654
829822162,ASSOCIATION ENFANTS DU TERRITOIRE,Bazarnes,89460,89,2024-06-26,2024-06-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401222957
900481300,ASSOCIATION KAFA ACADEMY,Seclin Cedex,59475,59,2024-06-26,2024-05-17,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202401222660
812396315,ASSOCIATION POUR LES COMITES D’ENTREPRISE ET SYNDICATS D’ASSISTANCE ET DE FORMATION (ACESAF),Tinqueux Cedex,51432,51,2023-02-17,2022-10-12,Dépôt de l'état des créances,Avis de dépôt,A202300342298
538236530,L’ASSOCIATION BUBBLE ART,Nice,06000,06,2024-06-23,2024-05-24,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202401201489
885311829,ASSOCIATION CDS CHARLES DE GAULLE,Clermont-Ferrand,63000,63,2024-06-21,2024-06-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401192425
441908647,ASSOCIATION LA REGIE DES QUARTIERS DE BEZONS,Bezons,95870,95,2023-10-11,2023-09-26,Autre jugement prononçant,Jugement prononçant,A202301963419
779639202,ADPAH (ASSOCIATION D’AIDE A DOMICILE AUX PERSONNES AGEES ET HANDICAPEES),Vienne,38200,38,2024-06-07,2024-05-16,Jugement arrêtant un plan de cession,Extrait de jugement,A202401093232
