siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
803343466,ASSOCIATION 1001 PRODSRECORDS,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402196
,ASSOCIATION TERRA DARWIN ACADEMY,Méry-sur-Cher,18100,18,2022-12-11,2022-11-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202401853
820209872,ASSOCIATION LA MEUTE,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402197
,ASSOCIATION INTERCOMMUNALE D’AIDES A DOMICILE ASSAD EN PAYS DE L’OURQ,Mary-sur-Marne,77440,77,2022-12-09,2022-11-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202392728
,ASSOCIATION DE L’AIDE FAMILIALE POPULAIRE,Tergnier,02700,02,2022-12-09,2022-11-21,Dépôt de l'état des créances,Avis de dépôt,A202202391845
812396315,ASSOCIATION POUR LES COMITES D’ENTREPRISE ET SYNDICATS D’ASSISTANCE ET DE FORMATION (ACESAF),Tinqueux Cedex,51432,51,2022-12-08,2022-12-02,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202383231
321692394,ASSOCIATION CULTURE ET EXPRESSIONS,Toulon,83000,83,2022-12-08,2022-12-01,Autre jugement prononçant,Jugement prononçant,A202202383465
,ASSOCIATION FEDERATION NATIONALE DE FITNESS ET DISCIPLINES ASSOCIEES (FNFDA),Asnières-sur-Seine,92600,92,2022-12-08,2022-11-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202383594
,ASSOCIATION D’AIDE A DOMICILE DU CANTON DE VALMONT,Sassetot-le-Mauconduit,76540,76,2022-12-08,2022-11-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202383415
,ASSOCIATION REGROUPEMENT PPLOCAL,Courbevoie,92400,92,2022-12-08,2022-11-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202383598
321692394,ASSOCIATION CULTURE ET EXPRESSIONS,Toulon,83000,83,2022-12-08,2022-11-28,Dépôt de l'état des créances,Avis de dépôt,A202202383467
,ASSOCIATION SERVICES PLUS,Argentat-sur-Dordogne,19400,19,2022-12-08,2022-11-30,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202383115
,ASSOCIATION D’EDUCATION POPULAIRE COURS DES COTEAUX,Saint-Cloud,92210,92,2022-12-08,2022-11-07,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202202383599
,ASSOCIATION MAISON DES JEUNES ET DE LA CULTURE DE LIMOURS,Limours,91470,91,2022-12-08,2022-11-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202383577
