siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
481100931,ASSOCIATION FEMMES INTER ASSOCIATIONS NORMANDIE,Rouen,76100,76,2021-07-18,2021-06-17,Autre jugement et ordonnance,Extrait de jugement,A202101382357
432003929,ASSOCIATION LE SESAME,Rennes Cedex,35042,35,2021-07-15,2021-06-25,Dépôt de l'état des créances et du projet de répartition,Avis de dépôt,A202101362817
518741335,ASSOCIATION MEDIATION SUD,Junas,30250,30,2021-07-15,2021-07-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101362770
494640071,ASSOCIATION POLE REGIONAL NUMERIQUE,Lille,59000,59,2020-03-19,2020-03-02,Dépôt de l'état des créances,Avis de dépôt,A202000562358
404006108,ASSOCIATION SOLAL,Aix-en-Provence,13090,13,2021-07-15,2021-06-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101362737
311129001,ASSOCIATION LA JACINE,Bouvante,26190,26,2020-02-25,2020-01-22,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202000394058
443392162,ASSOCIATION PRIMAVERA,Joué-lès-Tours,37300,37,2021-07-11,2021-05-19,Dépôt de l'état de collocation,Avis de dépôt,A202101341940
538083049,ASSOCIATION DE PREFIGURATION DE L’ECOCENTRE D’ECOUEN “APEE”,Ecouen,95440,95,2021-07-11,2021-06-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101342273
804032761,ASSOCIATION INSTITUT DE FORMATION EN TRANSPORT ET LOGISTIQUE - IFTL,La Seyne-sur-Mer,83500,83,2021-07-11,2021-05-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101342206
391979176,ASSOCIATION REGIE DES DEUX RIVES,Romans-sur-Isère,26100,26,2021-07-11,2021-06-16,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101341846
432142917,ASSOCIATION SYNDICALE LIBRE DU LOTISSEMENT DU MARCHE GARE,Nîmes,30900,30,2021-07-11,2021-06-17,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202101341876
502722978,ASSOCIATION GROUPEMENT D’EMPLOYEURS PROFESSION SPORT ET LOISIR,Belfort,90000,90,2021-07-11,2021-06-07,Jugement de plan de redressement,Extrait de jugement,A202101342223
424778538,ASSOCIATION TECHNIQUE DE L’ELEVAGE AUDOIS,Carcassonne Cedex 9,11878,11,2020-10-08,2020-09-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001961748
