fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,label
391480142_31122021.pdf,391480142,2021-12-31,ASS LES PIT'CHOUNS,259030.0,-25763.0,-20596.0,53960.0,50805.0,105533.0,74.0,-0.09945952206308149,0.5113092587152833,0.1961355827510327,-0.07951202563409644,1,7.5,88,61,1
391777356_30062021.pdf,391777356,2021-06-30,ASSOCIATION TOULOUSE XIII,377627.0,96636.0,73847.0,148901.0,158577.0,274304.0,72.0,0.2559033119983476,0.5428320403639757,0.4199302486315862,0.1955554025533132,1,14.0,93,31,1
391777356_30062022.pdf,391777356,2022-06-30,ASSOCIATION TOULOUSE XIII,457906.0,23668.0,-2868.0,138122.0,34644.0,175642.0,73.0,0.051687464239385375,0.7863836667767391,0.07565744934549885,-0.006263294213222801,1,14.0,93,31,1
398694570_31122022.pdf,398694570,2022-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,1124141.0,2995.0,15080.0,562248.0,505632.0,720585.0,15.0,0.002664256530097203,0.7802660338474989,0.44979410945779935,0.013414687303461043,1,149.0,94,95,1
398694570_31122023.pdf,398694570,2023-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,1794363.0,80605.0,112338.0,1123688.0,1053285.0,1308077.0,10.0,0.044921233886342955,0.85903811472872,0.5869966110536162,0.06260606131535258,1,149.0,94,95,1
402283543_31122022.pdf,402283543,2022-12-31,Association CLAP SUD OUEST,1988612.0,6105.0,2601.0,86613.0,209300.0,954468.0,97.0,0.0030699804687892864,0.09074479186311118,0.10524928945415195,0.0013079474527962216,1,34.0,85,33,1
402283543_31122023.pdf,402283543,2023-12-31,CLAP SUD OUEST,1930073.0,-11570.0,-48971.0,37642.0,2364.0,624713.0,84.0,-0.0059945919143990925,0.06025486903586127,0.001224824138776098,-0.02537261543993414,1,34.0,85,33,1
402283543_31122024.pdf,402283543,2024-12-31,Association Comité de Liaison des Acteurs de la Promotion Sud-Ouest,1312709.0,-395332.0,-400875.0,-363233.0,149548.0,642775.0,92.0,-0.3011573776061564,-0.5651013185018086,0.11392319242116875,-0.3053799433080751,1,34.0,85,33,1
404149932_31122022.pdf,404149932,2022-12-31,Association Centre Social Promesses,501151.0,7157.0,1385.0,234740.0,215103.0,389497.0,91.0,0.014281124850593933,0.602674731769436,0.4292179403014261,0.002763638105082101,1,34.0,88,59,1
404862294_31122022.pdf,404862294,2022-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,930967.0,72596.0,12955.0,-62386.0,210546.0,398446.0,71.0,0.07797913352460399,-0.156573287220853,0.22615839229532303,0.013915638255706164,0,34.0,88,59,1
404862294_31122023.pdf,404862294,2023-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,900676.0,-47736.0,-51772.0,-123988.0,108655.0,322363.0,83.0,-0.05300019096767317,-0.38462230466896014,0.12063716586208581,-0.05748126962414897,0,34.0,88,59,1
404862294_31122024.pdf,404862294,2024-12-31,Association FACE MEL,1075459.0,-53570.0,-102603.0,-227352.0,72123.0,310275.0,68.0,-0.04981128987715943,-0.732743533961808,0.06706252865055758,-0.09540391590939311,0,34.0,88,59,1
412542326_31122022.pdf,412542326,2022-12-31,AAPPUI,2917859.0,-130114.0,-299643.0,-1236904.0,6565.0,402249.0,0.0,-0.044592284959622794,-3.0749709756891876,0.002249937368460916,-0.10269276205601435,0,74.0,88,38,1
418355079_31122024.pdf,418355079,2024-12-31,Association Le Maillon,953499.0,-37372.0,37336.0,120464.0,15554.0,264146.0,71.0,-0.03919458751398795,0.4560508203796385,0.016312549882065947,0.03915683183726464,1,34.0,88,13,1
420609182_31122022.pdf,420609182,2022-12-31,ASSOCIATION ADAM,1754346.0,299617.0,29979.0,580872.0,426469.0,814358.0,71.0,0.1707855804955237,0.7132882589720982,0.24309286765552518,0.017088419274191066,1,34.0,93,06,1
420609182_31122023.pdf,420609182,2023-12-31,Association ADAM,1536162.0,32328.0,25241.0,520789.0,428145.0,725229.0,71.0,0.021044655446495877,0.7181028337256232,0.2787108390911896,0.01643120972918221,1,34.0,93,06,1
420609182_31122024.pdf,420609182,2024-12-31,Association ADAM,1265738.0,-166853.0,1081.0,314352.0,211860.0,501753.0,62.0,-0.13182269948441147,0.626507464828312,0.16738061115333505,0.0008540472040817294,1,34.0,93,06,1
