fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,age_avant_jugement,label,cac_certification_qualite,concentration_financeurs,evolution_subv_3ans,evolution_resultat_3ans,cacq_certifie_sans_reserve,cacq_certifie_avec_reserve,cacq_refus_certification,cacq_alerte_continuite_exploitation
404862294_31122022.pdf,404862294,2022-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,930967.0,72596.0,12955.0,-62386.0,210546.0,398446.0,71.0,0.0779791335246039,-0.156573287220853,0.226158392295323,0.0139156382557061,0.0,34.0,88,59,2.2587268993839835,1,,0.3,,,0,0,0,0
404862294_31122023.pdf,404862294,2023-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,900676.0,-47736.0,-51772.0,-123988.0,108655.0,322363.0,83.0,-0.0530001909676731,-0.3846223046689601,0.1206371658620858,-0.0574812696241489,0.0,34.0,88,59,1.2594113620807663,1,,0.29,12.0,-0.071396907879855,0,0,0,0
404862294_31122024.pdf,404862294,2024-12-31,Association FACE MEL,1075459.0,-53570.0,-102603.0,-227352.0,72123.0,310275.0,68.0,-0.0498112898771594,-0.732743533961808,0.0670625286505575,-0.0954039159093931,0.0,34.0,88,59,0.2573579739904175,1,,0.31,-1.5,-0.0546597770825496,0,0,0,0
412542326_31122022.pdf,412542326,2022-12-31,AAPPUI,2917859.0,-130114.0,-299643.0,-1236904.0,6565.0,402249.0,0.0,-0.0445922849596227,-3.074970975689188,0.0022499373684609,-0.1026927620560143,0.0,74.0,88,38,2.1409993155373037,1,,,,,0,0,0,0
418355079_31122024.pdf,418355079,2024-12-31,Association Le Maillon,953499.0,-37372.0,37336.0,120464.0,15554.0,264146.0,71.0,-0.0391945875139879,0.4560508203796385,0.0163125498820659,0.0391568318372646,1.0,34.0,88,13,0.5229295003422314,1,certifie_sans_reserve,0.61,,,1,0,0,0
420609182_31122022.pdf,420609182,2022-12-31,ASSOCIATION ADAM,1754346.0,299617.0,29979.0,580872.0,426469.0,814358.0,71.0,0.1707855804955237,0.7132882589720982,0.2430928676555251,0.017088419274191,1.0,34.0,93,06,2.1519507186858315,1,certifie_sans_reserve,,,,1,0,0,0
420609182_31122023.pdf,420609182,2023-12-31,Association ADAM,1536162.0,32328.0,25241.0,520789.0,428145.0,725229.0,71.0,0.0210446554464958,0.7181028337256232,0.2787108390911896,0.0164312097291822,1.0,34.0,93,06,1.1526351813826146,1,certifie_sans_reserve,,0.0,-0.0006572095450088009,1,0,0,0
420609182_31122024.pdf,420609182,2024-12-31,Association ADAM,1265738.0,-166853.0,1081.0,314352.0,211860.0,501753.0,62.0,-0.1318226994844114,0.626507464828312,0.167380611153335,0.0008540472040817,1.0,34.0,93,06,0.1505817932922655,1,certifie_sans_reserve,,-4.5,-0.00811718603505465,1,0,0,0
421376468_31122022.pdf,421376468,2022-12-31,ASSOCIATION PRACTHIS,558752.0,11405.0,9471.0,476809.0,92752.0,439678.0,17.0,0.0204115600481072,1.0844504387301617,0.1659985109672985,0.0169502748983448,1.0,7.5,94,75,2.869267624914442,1,certifie_sans_reserve,,,,1,0,0,0
421376468_31122023.pdf,421376468,2023-12-31,ASSOCIATION PRACTHIS,598360.0,17061.0,18195.0,302316.0,110409.0,409848.0,21.0,0.0285129353566414,0.7376295602272062,0.1845193528979209,0.030408115515743,1.0,7.5,94,75,1.8699520876112248,1,certifie_sans_reserve,,4.0,0.0134578406173982,1,0,0,0
