url,title,pdf_url,chambre,exercices,pub_date,is_loi_1901
https://www.ccomptes.fr/fr/publications/association-formation-et-ingenierie-afi-ain,Association formation et ingénierie (AFI) (Ain),https://www.ccomptes.fr/sites/default/files/2025-07/ARA202523.pdf,Auvergne-Rhône-Alpes,2018-2023,2025-07-09,true
https://www.ccomptes.fr/fr/publications/fondation-charles-mion-aider-sante-herault,Fondation Charles Mion - AIDER Santé (Hérault),https://www.ccomptes.fr/sites/default/files/2025-06/OCR2025-25.pdf,,2019-2024,2025-06-27,false
https://www.ccomptes.fr/fr/publications/association-leo-lagrange-de-graulhet-tarn,Association Léo Lagrange de Graulhet (Tarn),https://www.ccomptes.fr/sites/default/files/2025-06/OCR2025-24.pdf,,2019-2024,2025-06-26,false
https://www.ccomptes.fr/fr/publications/association-adapei-loire-atlantique-loire-atlantique,Association Adapei Loire-Atlantique (Loire-Atlantique),https://www.ccomptes.fr/sites/default/files/2025-06/ROD%202025-222%20ADAPEILA-44.pdf,Pays de la Loire,,2025-06-25,true
https://www.ccomptes.fr/fr/publications/association-hermione-la-fayette-charente-maritime,Association Hermione - La Fayette (Charente-Maritime),https://www.ccomptes.fr/sites/default/files/2025-06/NAR2025-031_0.pdf,,,2025-06-19,false
https://www.ccomptes.fr/fr/publications/association-pour-la-formation-et-le-developpement-maritime-et-aquacole-mayotte,Association pour la formation et le développement maritime et aquacole à Mayotte,https://www.ccomptes.fr/sites/default/files/2025-06/ROD2_AFODEMAM.pdf,Mayotte,,2025-06-13,true
https://www.ccomptes.fr/fr/publications/association-adapei-aria-de-vendee,Association Adapei-Aria de Vendée,https://www.ccomptes.fr/sites/default/files/2025-05/ROD-2025-218-ADAPEI-85-ORGANIQUE.pdf,Pays de la Loire,,2025-05-27,true
https://www.ccomptes.fr/fr/publications/association-adapei-aria-de-vendee-les-actions-en-matiere-dinsertion-professionnelle,Association Adapei-Aria de Vendée - Les actions en matière d’insertion professionnelle,https://www.ccomptes.fr/sites/default/files/2025-05/ROD-2025-219-ADAPEI-85-insertion-pro.pdf,Pays de la Loire,,2025-05-27,true
https://www.ccomptes.fr/fr/publications/association-syndicale-autorisee-dassainissement-et-de-drainage-de-la-haute-vienne,Association syndicale autorisée d'assainissement et de drainage de la Haute-Vienne - Limoges (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99008.pdf,,,1999-10-20,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-ndeg-3-de-saint-sulpice-les-feuilles-haute-vienne,Association foncière de remembrement n° 3 de Saint-Sulpice-les-Feuilles (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL200020.pdf,,,2000-03-28,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-rilhac-lastours-haute-vienne,Association foncière de remembrement de Rilhac-Lastours (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99024.pdf,,,1999-06-01,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-nexon-haute-vienne,Association foncière de remembrement de Nexon (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99009.pdf,,,1999-06-01,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-saint-sulpice-les-feuilles-haute-vienne,Association foncière de remembrement de Saint-Sulpice-les-Feuilles (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL200019.pdf,,,2000-03-28,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-la-meyze-haute-vienne,Association foncière de remembrement de la Meyze (Haute-Vienne),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99023.pdf,,,1999-06-01,false
https://www.ccomptes.fr/fr/publications/association-les-sept-collines-tulle-correze,Association Les Sept Collines - Tulle (Corrèze),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL98004.pdf,,,1998-03-19,false
https://www.ccomptes.fr/fr/publications/association-du-pays-des-monedieres-correze-egletons-treignac-correze,Association du pays des Monédières Corrèze-Égletons-Treignac (Corrèze),https://www.ccomptes.fr/sites/default/files/EzPublish/LIR200307.pdf,,,2003-09-23,false
https://www.ccomptes.fr/fr/publications/association-syndicale-autorisee-asa-de-drainage-du-nord-de-la-creuse-creuse,Association syndicale autorisée (ASA) de drainage du nord de la Creuse (Creuse),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99005.pdf,,,1999-06-15,false
