url,title,siren,canonical_name,nature_juridique,score,ambiguous,thematic,departement,query_used,nb_candidates
https://www.ccomptes.fr/fr/publications/association-ado-66-maison-des-adolescents-66-pyrenees-orientales,Association ADO 66 - Maison des adolescents 66 (Pyrénées-Orientales),537869695,ASSOCIATION ADO SOIXANTE SIX (ADO 66),9220,0.650,false,false,66,ado 66,2
https://www.ccomptes.fr/fr/publications/fondation-assistance-aux-animaux-0,Fondation Assistance aux Animaux,311642342,FONDATION ASSISTANCE AUX ANIMAUX,9300,1.000,true,false,,assistance animaux,10
https://www.ccomptes.fr/fr/publications/association-mission-locale-de-la-lozere-maison-des-adolescents-48-lozere,Association mission locale de la Lozère - Maison des adolescents 48 (Lozère),389875964,MISSION LOCALE LOZERE,9220,0.917,false,false,48,mission locale lozere,3
https://www.ccomptes.fr/fr/publications/association-departementale-des-pupilles-de-lenseignement-public-de-laude-maison-des,Association départementale des pupilles de l’enseignement public de l’Aude - Maison des adolescents 11 (Aude),775555675,ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L'ENSEIGNEMENT PUBLIC DE L'AUDE (LES PEP 11),9220,0.800,false,false,11,departementale pupilles enseignement public aude,2
https://www.ccomptes.fr/fr/publications/association-maison-des-adolescents-de-laveyron,Association maison des adolescents de l'Aveyron,882525413,MAISON DES ADOLESCENTS DE L'AVEYRON (MDA 12),9220,1.000,false,false,12,MAISON,10
https://www.ccomptes.fr/fr/publications/association-de-laquifere-des-calcaires-de-champigny-en-brie-aqui-brie-seine-et-marne,"Association de l'aquifère des calcaires de Champigny-en-Brie ""AQUI' Brie"" (Seine-et-Marne)",,,,,false,false,51,laquifere calcaires champigny brie aqui brie,0
https://www.ccomptes.fr/fr/publications/association-departementale-damis-et-parents-de-personnes-handicapees-mentales-adapei,Association départementale d'amis et parents de personnes handicapées mentales (Adapei) (La Réunion),,,,,false,false,974,departementale damis parents personnes handicapees mentales,0
https://www.ccomptes.fr/fr/publications/association-montpellier-herault-rugby-herault,Association Montpellier Hérault Rugby (Hérault),345362933,MONTPELLIER HERAULT RUGBY (MHR),9220,0.857,false,false,34,montpellier herault rugby,8
https://www.ccomptes.fr/fr/publications/association-mlezi-maore-mayotte,Association Mlezi Maore (Mayotte),518926472,ASSOCIATION MLEZI MAORE,9220,1.000,false,false,976,mlezi maore,3
https://www.ccomptes.fr/fr/publications/association-monnaie-locale-citoyenne-la-gonette-metropole-de-lyon,Association Monnaie locale citoyenne - La Gonette (Métropole de Lyon),804471795,MONNAIE LOCALE CITOYENNE - LA GONETTE (MLC LA GONETTE),9220,0.977,false,false,69,monnaie locale citoyenne,8
https://www.ccomptes.fr/fr/publications/association-laval-mayenne-technopole-mayenne,Association Laval Mayenne Technopole (Mayenne),413812264,LAVAL MAYENNE TECHNOPOLE,9220,1.000,false,false,53,laval mayenne technopole,27
https://www.ccomptes.fr/fr/publications/association-community-pas-de-calais,Association Community (Pas-de-Calais),383554649,ASSOCIATION COMMUNITY,9220,0.500,true,false,62,community,4
https://www.ccomptes.fr/fr/publications/association-de-parents-de-personnes-en-situation-de-handicap-mental-et-de-leurs-amis,Association de parents de personnes en situation de handicap mental et de leurs amis (APEI) de la région dieppoise (Seine-Maritime),421187915,ASSOCIATION DE PARENTS ET D'AMIS DE PERSONNES EN SITUATION DE HANDICAP MENTAL DE GOURNAY EN BRAY ET SES ENVIRONS (APAPSH),9220,0.695,false,false,76,parents personnes situation handicap mental leurs,15
https://www.ccomptes.fr/fr/publications/association-leo-lagrange-ouest-loire-atlantique,Association Léo Lagrange Ouest (Loire-Atlantique),410683254,LEO LAGRANGE OUEST,9220,0.750,false,false,44,leo lagrange ouest,1
https://www.ccomptes.fr/fr/publications/association-agence-dattractivite-du-calvados,Association Agence d'attractivité du Calvados,780714408,AGENCE D'ATTRACTIVITE DU CALVADOS - CALVADOS ATTRACTIVITE,9220,1.000,false,false,14,AGENCE,10
https://www.ccomptes.fr/fr/publications/association-matisse-pas-de-calais,Association Matisse (Pas-de-Calais),512940370,ASSOCIATION MATISSE (ASS),9220,0.650,false,false,62,matisse,10
https://www.ccomptes.fr/fr/publications/association-laval-virtual-mayenne,Association Laval Virtual (Mayenne),424319929,VIRTUAL LAVAL,9220,1.000,false,false,53,laval virtual,11
https://www.ccomptes.fr/fr/publications/association-centre-danimation-culturelle-de-compiegne-et-du-valois-caccv-espace-jean,"Association ""Centre d'animation culturelle de Compiègne et du Valois (CACCV) espace Jean Legendre"" (Oise)",303626360,CTRE ANIMATION CULTUREL COMPIEGNE VALOIS (CACCV),9220,0.650,false,false,60,CACCV,11
https://www.ccomptes.fr/fr/publications/association-accoord-loire-atlantique-0,Association Accoord (Loire-Atlantique),333352524,ACCOORD (ACCOORD),9220,0.750,false,false,44,accoord,3
https://www.ccomptes.fr/fr/publications/association-loisirs-education-citoyennete-grand-sud-lecgs-haute-garonne,"Association Loisirs, éducation & citoyenneté Grand Sud (LECGS) (Haute-Garonne)",880088893,LOISIRS ADAPTES,9220,0.450,true,false,31,loisirs,10
https://www.ccomptes.fr/fr/publications/association-pole-de-competitivite-filiere-equine-calvados,Association Pôle de compétitivité filière équine (Calvados),422808949,POLE DE COMPETITIVITE FILIERE EQUINE,9220,1.000,false,false,14,pole competitivite filiere equine,11
https://www.ccomptes.fr/fr/publications/association-parentale-dorganisation-et-de-gestion-detablissements-pour-personnes,Association parentale d’organisation et de gestion d’établissements pour personnes handicapées mentales (Apogei 94) - Val-de-Marne,,,,,false,false,51,parentale organisation gestion etablissements personnes handicapees,0
https://www.ccomptes.fr/fr/publications/association-culture-commune-pas-de-calais-0,"Association ""Culture commune"" (Pas-de-Calais)",379181357,CULTURE COMMUNE,9220,0.917,false,false,62,culture commune,13
https://www.ccomptes.fr/fr/publications/association-conseil-des-chevaux-de-normandie-calvados,Association Conseil des chevaux de Normandie (Calvados),524906658,CONSEIL DES CHEVAUX DE NORMANDIE,9220,1.000,false,false,14,conseil chevaux normandie,12
https://www.ccomptes.fr/fr/publications/association-des-centres-danimation-de-bordeaux-gironde,Association des centres d'animation de Bordeaux (Gironde),781849294,CENTRES D'ANIMATION DE BORDEAUX - CULTIVONS LE PARTAGE,9220,0.817,false,false,33,CENTRES,10
https://www.ccomptes.fr/fr/publications/association-centre-europeen-des-textiles-innovants-ceti-nord,"Association ""Centre européen des textiles innovants"" (CETI) (Nord)",507487130,ASSOCIATION CETI (CENTRE EUROPEEN DES TEXTILES INNOVANTS,9220,1.000,false,false,59,centre europeen textiles innovants,19
https://www.ccomptes.fr/fr/publications/association-saint-marcel-karate-eure,Association Saint-Marcel Karaté (Eure),478952971,SAINT MARCEL KARATE (SMK),9220,1.000,false,false,27,saint marcel karate,19
https://www.ccomptes.fr/fr/publications/association-festival-international-des-musiques-daujourdhui-de-strasbourg-musica-bas,Association festival international des musiques d'aujourd'hui de Strasbourg (Musica) (Bas-Rhin),326118114,MUSICA FESTIVAL INTERNAT STRASBOURG,9260,0.712,false,false,67,FESTIVAL,11
https://www.ccomptes.fr/fr/publications/association-passages-moselle,Association Passages (Moselle),518807854,PASSAGES,9260,0.917,false,false,57,passages,10
